TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIL,MIL vs. TOR,04/20/2017,W,240,104,39,74,52.7,12,23,52.2,14,19,73.7,3,33,36,29,6,4,13,25,27
TOR,TOR @ MIL,04/20/2017,L,240,77,24,71,33.8,6,22,27.3,23,30,76.7,9,31,40,11,6,4,16,21,-27
IND,IND vs. CLE,04/20/2017,L,240,114,38,95,40.0,16,41,39.0,22,26,84.6,17,35,52,25,4,5,11,23,-5
CLE,CLE @ IND,04/20/2017,W,240,119,39,87,44.8,21,44,47.7,20,30,66.7,8,32,40,23,6,7,8,23,5
ATL,ATL @ WAS,04/19/2017,L,240,101,32,79,40.5,4,20,20.0,33,38,86.8,10,31,41,17,6,6,18,26,-8
WAS,WAS vs. ATL,04/19/2017,W,240,109,39,86,45.3,7,22,31.8,24,33,72.7,11,32,43,22,10,10,11,29,8
OKC,OKC @ HOU,04/19/2017,L,240,111,40,97,41.2,7,30,23.3,24,28,85.7,17,31,48,20,9,11,7,24,-4
HOU,HOU vs. OKC,04/19/2017,W,240,115,38,78,48.7,11,29,37.9,28,37,75.7,5,32,37,20,5,8,13,21,4
GSW,GSW vs. POR,04/19/2017,W,240,110,40,91,44.0,10,32,31.3,20,24,83.3,11,43,54,31,8,11,17,17,29
POR,POR @ GSW,04/19/2017,L,240,81,30,90,33.3,7,34,20.6,14,19,73.7,11,36,47,17,9,7,19,19,-29
MIL,MIL @ TOR,04/18/2017,L,240,100,36,87,41.4,11,23,47.8,17,19,89.5,12,28,40,20,6,4,12,16,-6
TOR,TOR vs. MIL,04/18/2017,W,240,106,37,77,48.1,14,29,48.3,18,25,72.0,6,34,40,24,6,4,13,22,6
LAC,LAC vs. UTA,04/18/2017,W,240,99,44,84,52.4,6,20,30.0,5,8,62.5,8,31,39,26,7,4,11,23,8
UTA,UTA @ LAC,04/18/2017,L,240,91,32,70,45.7,10,25,40.0,17,22,77.3,3,30,33,15,7,2,14,16,-8
BOS,BOS vs. CHI,04/18/2017,L,240,97,38,82,46.3,10,33,30.3,11,19,57.9,11,27,38,26,6,4,16,17,-14
CHI,CHI @ BOS,04/18/2017,W,240,111,45,89,50.6,10,25,40.0,11,14,78.6,12,32,44,28,12,6,12,17,14
IND,IND @ CLE,04/17/2017,L,240,111,43,84,51.2,8,20,40.0,17,23,73.9,9,24,33,23,14,3,14,21,-6
CLE,CLE vs. IND,04/17/2017,W,240,117,42,76,55.3,13,31,41.9,20,23,87.0,7,30,37,19,6,8,19,16,6
SAS,SAS vs. MEM,04/17/2017,W,240,96,28,61,45.9,9,23,39.1,31,32,96.9,5,34,39,14,4,4,16,13,14
MEM,MEM @ SAS,04/17/2017,L,240,82,31,82,37.8,7,27,25.9,13,15,86.7,9,26,35,19,8,1,10,22,-14
ATL,ATL @ WAS,04/16/2017,L,240,107,34,78,43.6,7,25,28.0,32,39,82.1,13,35,48,18,5,3,21,22,-7
WAS,WAS vs. ATL,04/16/2017,W,240,114,45,100,45.0,8,28,28.6,16,17,94.1,15,27,42,28,8,9,12,25,7
HOU,HOU vs. OKC,04/16/2017,W,240,118,45,91,49.5,10,33,30.3,18,26,69.2,14,42,56,21,8,3,11,19,31
OKC,OKC @ HOU,04/16/2017,L,240,87,30,81,37.0,9,29,31.0,18,23,78.3,7,34,41,19,8,5,15,19,-31
BOS,BOS vs. CHI,04/16/2017,L,240,102,37,86,43.0,14,38,36.8,14,19,73.7,12,24,36,27,9,4,16,20,-4
CHI,CHI @ BOS,04/16/2017,W,240,106,39,91,42.9,8,26,30.8,20,23,87.0,20,33,53,22,10,7,19,18,4
POR,POR @ GSW,04/16/2017,L,240,109,40,93,43.0,11,30,36.7,18,22,81.8,11,27,38,15,8,3,15,25,-12
GSW,GSW vs. POR,04/16/2017,W,240,121,43,81,53.1,11,27,40.7,24,28,85.7,9,36,45,26,7,10,16,24,12
MIL,MIL @ TOR,04/15/2017,W,240,97,38,85,44.7,9,23,39.1,12,15,80.0,9,34,43,22,5,5,5,23,14
TOR,TOR vs. MIL,04/15/2017,L,240,83,27,75,36.0,5,23,21.7,24,33,72.7,8,39,47,15,3,4,11,21,-14
IND,IND @ CLE,04/15/2017,L,240,108,40,81,49.4,11,24,45.8,17,20,85.0,12,29,41,21,6,1,13,25,-1
CLE,CLE vs. IND,04/15/2017,W,240,109,42,78,53.8,11,28,39.3,14,27,51.9,10,24,34,26,7,2,11,19,1
UTA,UTA @ LAC,04/15/2017,W,240,97,38,79,48.1,8,19,42.1,13,19,68.4,6,28,34,21,7,4,13,19,2
LAC,LAC vs. UTA,04/15/2017,L,240,95,36,81,44.4,8,24,33.3,15,17,88.2,8,32,40,20,6,4,15,18,-2
SAS,SAS vs. MEM,04/15/2017,W,240,111,41,76,53.9,10,19,52.6,19,25,76.0,8,34,42,16,4,11,10,20,29
